User ID,Subscription Type,Join Date,Last Payment Date,Country,Age,Device,NumericalDate,Label
1,Basic,15-01-22,10-06-23,United States,28,Smartphone,161,least_interested
2,Premium,05-09-21,22-06-23,Canada,35,Tablet,173,least_interested
3,Standard,28-02-23,27-06-23,United Kingdom,42,Smart TV,178,least_interested
4,Standard,10-07-22,26-06-23,Australia,51,Laptop,177,least_interested
5,Basic,01-05-23,28-06-23,Germany,33,Smartphone,179,least_interested
6,Premium,18-03-22,27-06-23,France,29,Smart TV,178,least_interested
7,Standard,09-12-21,25-06-23,Brazil,46,Tablet,176,least_interested
8,Basic,02-04-23,24-06-23,Mexico,39,Laptop,175,least_interested
9,Standard,20-10-22,23-06-23,Spain,37,Smartphone,174,least_interested
10,Premium,07-01-23,22-06-23,Italy,44,Smart TV,173,least_interested
11,Basic,16-05-22,22-06-23,United States,31,Smartphone,173,least_interested
12,Premium,23-03-23,28-06-23,Canada,45,Tablet,179,least_interested
13,Standard,30-11-21,27-06-23,United Kingdom,48,Laptop,178,least_interested
14,Basic,01-08-22,26-06-23,Australia,27,Smartphone,177,least_interested
15,Standard,09-05-23,28-06-23,Germany,38,Smart TV,179,least_interested
16,Premium,07-04-22,27-06-23,France,36,Tablet,178,least_interested
17,Basic,24-01-22,25-06-23,Brazil,30,Laptop,176,least_interested
18,Standard,18-10-21,24-06-23,Mexico,43,Smartphone,175,least_interested
19,Premium,15-02-23,23-06-23,Spain,32,Smart TV,174,least_interested
20,Basic,27-05-23,22-06-23,Italy,41,Tablet,173,least_interested
21,Premium,10-06-23,22-06-23,United States,26,Laptop,173,least_interested
22,Basic,22-07-22,28-06-23,Canada,34,Smartphone,179,least_interested
23,Standard,05-12-21,27-06-23,United Kingdom,49,Smart TV,178,least_interested
24,Standard,03-04-22,26-06-23,Australia,31,Tablet,177,least_interested
25,Basic,14-03-23,28-06-23,Germany,40,Laptop,179,least_interested
26,Premium,12-01-22,27-06-23,France,29,Smartphone,178,least_interested
27,Basic,29-08-22,25-06-23,Brazil,47,Smart TV,176,least_interested
28,Standard,27-09-21,24-06-23,Mexico,33,Tablet,175,least_interested
29,Premium,19-12-22,23-06-23,Spain,36,Laptop,174,least_interested
30,Basic,17-05-23,22-06-23,Italy,42,Smartphone,173,least_interested
31,Premium,03-02-23,22-06-23,United States,28,Smart TV,173,least_interested
32,Basic,07-07-22,28-06-23,Canada,37,Tablet,179,least_interested
33,Standard,21-01-22,27-06-23,United Kingdom,41,Laptop,178,least_interested
34,Standard,25-05-22,26-06-23,Australia,29,Smartphone,177,least_interested
35,Basic,11-04-23,28-06-23,Germany,39,Smart TV,179,least_interested
36,Premium,01-03-22,27-06-23,France,35,Tablet,178,least_interested
37,Basic,14-09-22,25-06-23,Brazil,45,Laptop,176,least_interested
38,Standard,05-11-21,24-06-23,Mexico,32,Smartphone,175,least_interested
39,Premium,28-12-22,23-06-23,Spain,27,Smart TV,174,least_interested
40,Basic,07-03-23,22-06-23,Italy,48,Tablet,173,least_interested
41,Premium,20-01-23,22-06-23,United States,31,Laptop,173,least_interested
42,Basic,15-06-22,28-06-23,Canada,40,Smartphone,179,least_interested
43,Standard,07-02-22,27-06-23,United Kingdom,36,Smart TV,178,least_interested
44,Standard,26-04-22,26-06-23,Australia,29,Tablet,177,least_interested
45,Basic,28-01-23,28-06-23,Germany,43,Laptop,179,least_interested
46,Premium,23-02-22,27-06-23,France,34,Smartphone,178,least_interested
47,Basic,05-10-22,25-06-23,Brazil,39,Smart TV,176,least_interested
48,Standard,15-09-21,24-06-23,Mexico,32,Tablet,175,least_interested
49,Premium,10-11-22,23-06-23,Spain,28,Laptop,174,least_interested
50,Basic,02-06-23,22-06-23,Italy,45,Smartphone,173,least_interested
51,Premium,27-02-23,22-06-23,United States,30,Smart TV,173,least_interested
52,Basic,29-08-22,28-06-23,Canada,37,Tablet,179,least_interested
53,Standard,13-01-22,27-06-23,United Kingdom,41,Laptop,178,least_interested
54,Standard,30-06-22,26-06-23,Australia,29,Smartphone,177,least_interested
55,Basic,20-04-23,28-06-23,Germany,39,Smart TV,179,least_interested
56,Premium,15-03-22,27-06-23,France,36,Tablet,178,least_interested
57,Basic,01-10-22,25-06-23,Brazil,46,Laptop,176,least_interested
58,Standard,08-10-21,24-06-23,Mexico,34,Smartphone,175,least_interested
